#     time          Mx           My           Mz      
#     (ns)         (1)          (1)          (1)     
 1.10045e-10     -24568.6      63753.1       843115
  1.1043e-10     -25044.8      63654.8       843201
 1.10816e-10     -25524.1      63547.5       843285
 1.11201e-10     -26006.3      63431.4       843369
 1.11586e-10     -26491.2      63306.3       843452
 1.11972e-10     -26978.5      63172.2       843535
 1.12357e-10     -27467.8        63029       843616
 1.12743e-10     -27959.1      62876.7       843697
 1.13128e-10     -28451.9      62715.4       843777
 1.13514e-10       -28946        62545       843857
 1.13899e-10     -29441.2      62365.5       843936
 1.14284e-10     -29937.2      62176.8       844014
  1.1467e-10     -30433.8      61979.1       844091
 1.15055e-10     -30930.6      61772.3       844168
 1.15441e-10     -31427.6      61556.4       844244
 1.15826e-10     -31924.3      61331.5       844319
 1.16211e-10     -32420.6      61097.6       844394
 1.16597e-10     -32916.2      60854.7       844468
 1.16982e-10     -33410.9      60602.9       844542
 1.17368e-10     -33904.5      60342.2       844615
 1.17753e-10     -34396.6      60072.7       844687
 1.18337e-10     -35139.7      59647.4       844796
 1.18922e-10     -35878.3      59202.2       844903
 1.19506e-10     -36611.6      58737.3       845009
 1.20091e-10       -37339        58253       845114
 1.20675e-10     -38059.7      57749.7       845217
  1.2126e-10       -38773      57227.6       845320
 1.21844e-10     -39478.3      56687.2       845421
 1.22429e-10     -40174.9      56128.7       845521
 1.23013e-10     -40862.1      55552.5       845620
 1.23597e-10     -41539.5      54959.2       845718
 1.24182e-10     -42206.3        54349       845814
 1.24766e-10       -42862      53722.4       845910
 1.25351e-10     -43506.2      53079.8       846005
 1.25935e-10     -44138.2      52421.9       846099
  1.2652e-10     -44757.6      51748.9       846191
 1.27104e-10       -45364      51061.4       846283
 1.27689e-10     -45956.8      50359.9       846374
 1.28273e-10     -46535.7      49644.9       846464
 1.28858e-10     -47100.2      48916.9       846553
 1.29442e-10     -47650.1      48176.4       846641
 1.30026e-10     -48184.9      47424.1       846728
 1.30611e-10     -48704.4      46660.3       846814
 1.31195e-10     -49208.2      45885.7       846900
  1.3178e-10     -49696.1      45100.8       846984
 1.32364e-10     -50167.8      44306.2       847068
 1.32949e-10       -50623      43502.3       847151
 1.33533e-10     -51061.7      42689.9       847233
 1.34118e-10     -51483.5      41869.3       847314
 1.34702e-10     -51888.3      41041.2       847395
 1.35287e-10     -52276.1      40206.1       847475
 1.35871e-10     -52646.6      39364.6       847554
 1.36455e-10     -52999.8      38517.2       847632
  1.3704e-10     -53335.5      37664.5       847709
 1.37624e-10     -53653.8      36806.9       847786
 1.38209e-10     -53954.6      35945.1       847862
 1.38793e-10     -54237.8      35079.6       847937
 1.39378e-10     -54503.5      34210.8       848011
 1.39962e-10     -54751.7      33339.4       848085
 1.40546e-10     -54982.4      32465.8       848158
 1.41131e-10     -55195.6      31590.6       848230
 1.41715e-10     -55391.5      30714.2       848302
   1.423e-10     -55570.1      29837.1       848373
 1.42884e-10     -55731.4      28959.9       848443
 1.43469e-10     -55875.7      28082.9       848512
 1.44053e-10     -56003.1      27206.8       848581
 1.44638e-10     -56113.6      26331.8       848649
 1.45222e-10     -56207.5      25458.5       848716
 1.45807e-10     -56284.8      24587.3       848783
 1.46391e-10     -56345.9      23718.6       848849
 1.46976e-10     -56390.8      22852.9       848915
  1.4756e-10     -56419.8      21990.5       848979
 1.48144e-10     -56433.1      21131.9       849043
 1.48729e-10     -56430.9      20277.4       849107
 1.49313e-10     -56413.4      19427.4       849169
 1.49898e-10     -56380.9      18582.3       849231
 1.50482e-10     -56333.6      17742.3       849293
 1.51067e-10     -56271.9        16908       849353
 1.51651e-10     -56195.9      16079.4       849413
 1.52235e-10     -56105.9      15257.1       849473
  1.5282e-10     -56002.2      14441.2       849532
 1.53404e-10     -55885.1      13632.1       849590
 1.53989e-10     -55754.8        12830       849647
 1.54573e-10     -55611.7      12035.3       849704
 1.55158e-10       -55456        11248       849761
 1.55742e-10     -55288.1      10468.5       849816
 1.56327e-10     -55108.1      9697.02       849872
 1.56911e-10     -54916.5      8933.76       849926
 1.57496e-10     -54713.5      8178.86       849980
  1.5808e-10     -54499.5      7432.62       850033
 1.58665e-10     -54274.6       6695.1       850086
 1.59249e-10     -54039.5      5966.58       850138
 1.59833e-10     -53794.1      5247.12       850190
 1.60418e-10     -53538.9      4536.96       850241
 1.61002e-10     -53274.3      3836.18       850291
 1.61587e-10     -53000.5      3144.92       850341
 1.62171e-10     -52717.7      2463.21       850390
 1.62756e-10     -52426.4      1791.27       850439
  1.6334e-10     -52126.7      1129.09       850487
 1.63925e-10     -51819.2      476.848       850535
 1.64509e-10     -51503.9     -165.481       850582
 1.65093e-10     -51181.3     -797.737       850628
 1.65678e-10     -50851.7     -1419.89       850674
 1.66262e-10     -50515.2        -2032       850720
 1.66847e-10     -50172.3     -2633.89       850765
 1.67431e-10     -49823.3     -3225.61       850809
 1.68016e-10     -49468.2     -3807.18       850853
   1.686e-10     -49107.6     -4378.51       850897
 1.69185e-10     -48741.7     -4939.64       850940
 1.69769e-10     -48370.6      -5490.6       850982
 1.70353e-10     -47994.7     -6031.37       851024
 1.70938e-10     -47614.3     -6561.98       851065
 1.71522e-10     -47229.7     -7082.44       851106
 1.72107e-10     -46840.9     -7592.88       851147
 1.72691e-10     -46448.3     -8093.27       851187
 1.73276e-10     -46052.2     -8583.64       851227
  1.7386e-10     -45652.9     -9064.04       851266
 1.74445e-10     -45250.5     -9534.55       851304
 1.75029e-10     -44845.3     -9995.22       851343
 1.75614e-10     -44437.2     -10446.2       851380
 1.76198e-10     -44026.8     -10887.5       851418
 1.76782e-10     -43614.3     -11319.2       851455
 1.77367e-10     -43199.8     -11741.4       851491
 1.77951e-10     -42783.4     -12154.2       851527
 1.78536e-10     -42365.6     -12557.7       851563
  1.7912e-10     -41946.3     -12951.9       851598
 1.79705e-10     -41525.7     -13336.9       851633
 1.80622e-10     -40863.5     -13923.4       851687
  1.8154e-10     -40199.4       -14488       851740
 1.82458e-10       -39534     -15031.2       851792
 1.83375e-10     -38867.9     -15553.3       851843
 1.84293e-10     -38201.5       -16055       851893
  1.8521e-10     -37535.5     -16536.5       851942
 1.86128e-10     -36870.3     -16998.5       851990
 1.87046e-10     -36206.4     -17441.3       852038
 1.87963e-10     -35544.2     -17865.5       852085
 1.88881e-10       -34884     -18271.4       852130
 1.89798e-10     -34226.3     -18659.7       852175
 1.90716e-10     -33571.5     -19030.6       852220
 1.91634e-10     -32919.8     -19384.9       852263
 1.92551e-10     -32271.6     -19722.8       852306
 1.93469e-10       -31627     -20044.8       852348
 1.94387e-10     -30986.4     -20351.5       852389
 1.95304e-10       -30350     -20643.3       852430
 1.96222e-10     -29717.9     -20920.6       852469
 1.97139e-10     -29090.2     -21183.8       852508
 1.98057e-10     -28467.3     -21433.4       852547
 1.98975e-10     -27849.1     -21669.9       852585
 1.99892e-10     -27235.9     -21893.5       852622
  2.0081e-10     -26627.6     -22104.8       852658
 2.01727e-10     -26024.5       -22304       852694
 2.02645e-10     -25426.4     -22491.6       852729
 2.03563e-10     -24833.5       -22668       852764
  2.0448e-10     -24245.8     -22833.4       852798
