# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
544.0776183095193 -1088.155236619039 1632.232854928558 303716.5832652351 -188472.2013334027 340085.7109233387 
554.1531297596955 -1108.306259519391 1662.459389279087 302286.7548140516 -188663.9650768796 341251.3011630275 
564.2286412098719 -1128.457282419744 1692.685923629615 300866.5666176149 -188851.4205962482 342400.7512119493 
574.3041526600482 -1148.608305320096 1722.912457980145 299456.1398987045 -189034.9221768037 343534.0490760374 
584.3796641102244 -1168.759328220449 1753.138992330673 298055.6259944935 -189214.8334648165 344651.1497295671 
594.4551755604007 -1188.910351120801 1783.365526681202 296665.1602494009 -189391.4919596109 345752.0352326357 
604.530687010577 -1209.061374021154 1813.592061031731 295284.8915469796 -189565.2359131582 346836.6741814899 
614.6061984607534 -1229.212396921507 1843.81859538226 293914.959189189 -189736.3832463815 347905.0531932525 
624.6817099109296 -1249.363419821859 1874.045129732789 292555.5229493158 -189905.2780485179 348957.1259641611 
634.7572213611057 -1269.514442722211 1904.271664083317 291206.7566819949 -190072.7820744503 349992.5524596664 
644.832732811282 -1289.665465622564 1934.498198433846 289868.5590957607 -190237.9866407952 351012.1811085826 
654.9082442614582 -1309.816488522916 1964.724732784375 288541.2721782158 -190401.6101265729 352015.6040731514 
664.9837557116344 -1329.967511423269 1994.951267134904 287225.0245978447 -190564.0018142585 353002.791571544 
675.059267161811 -1350.118534323622 2025.177801485433 285919.94751025 -190725.4222272095 353973.7579708252 
685.1347786119871 -1370.269557223974 2055.404335835961 284626.1705168168 -190886.1087603018 354928.5293397567 
695.2102900621634 -1390.420580124327 2085.63087018649 283343.8127936764 -191046.2947819594 355867.1400981365 
705.2858015123396 -1410.571603024679 2115.857404537019 282072.9940071131 -191206.1902000708 356789.6344921439 
715.3613129625162 -1430.722625925032 2146.083938887548 280813.8243605843 -191365.9986942243 357696.0651052021 
725.4368244126923 -1450.873648825385 2176.310473238077 279566.409134822 -191525.9095598396 358586.4934025504 
735.5123358628686 -1471.024671725737 2206.537007588606 278330.8466227794 -191686.1006299665 359460.9895990455 
745.5878473130448 -1491.17569462609 2236.763541939135 277107.2277146744 -191846.7383981014 360319.6327072644 
755.6633587632214 -1511.326717526443 2266.990076289663 275895.6335365826 -192007.9805213903 361162.5108057936 
765.7388702133975 -1531.477740426795 2297.216610640192 274696.1390532423 -192169.9711179054 361989.7205581741 
775.8143816635737 -1551.628763327147 2327.443144990722 273508.812986521 -192332.841194459 362801.3668893371 
785.88989311375 -1571.7797862275 2357.66967934125 272333.7114477849 -192496.7157537527 363597.5638437272 
795.9654045639265 -1591.930809127853 2387.896213691779 271170.8859645965 -192661.7048013054 364378.4330997522 
806.0409160141027 -1612.081832028205 2418.122748042308 270020.3750615364 -192827.9126457768 365144.1051917715 
816.1164274642789 -1632.232854928558 2448.349282392837 268882.2104342195 -192995.4313842908 365894.7181591988 
826.1919389144551 -1652.38387782891 2478.575816743366 267756.4170189071 -193164.3413564868 366630.4171417205 
836.2674503646317 -1672.534900729263 2508.802351093895 266643.0043801933 -193334.7199279515 367351.3559053302 
846.3429618148078 -1692.685923629616 2539.028885444423 265541.9818648839 -193506.6269282364 368057.6933065332 
856.4184732649841 -1712.836946529968 2569.255419794952 264453.343578335 -193680.1198108151 368749.5961493478 
866.4939847151603 -1732.987969430321 2599.481954145481 263377.077164611 -193855.2455003886 369427.2369712479 
876.5694961653369 -1753.138992330674 2629.70848849601 262313.1640212249 -194032.0408696627 370090.793586017 
886.6450076155128 -1773.290015231026 2659.935022846538 261261.5706883322 -194210.541149364 370740.4507036378 
896.720519065689 -1793.441038131378 2690.161557197066 260222.2644878068 -194390.7661634535 371376.3959855604 
906.7960305158655 -1813.592061031731 2720.388091547596 259195.1983576238 -194572.7348042985 371998.823142128 
916.8715419660417 -1833.743083932083 2750.614625898125 258180.319942522 -194756.4573202522 372607.9295002217 
926.947053416218 -1853.894106832436 2780.841160248654 257177.5696849266 -194941.937722886 373203.9160670755 
937.0225648663942 -1874.045129732788 2811.067694599182 256186.8811359668 -195129.1741450185 373786.9871080442 
947.0980763165707 -1894.196152633141 2841.294228949711 255208.1834737657 -195318.1572743552 374357.3492359556 
957.1735877667469 -1914.347175533494 2871.520763300241 254241.3930623302 -195508.8784467494 374915.2129511684 
967.2490992169231 -1934.498198433846 2901.747297650769 253286.42914374 -195701.3164513782 375460.7888326162 
977.3246106670994 -1954.649221334199 2931.973832001298 252343.1966832044 -195895.4533512762 375994.2909726148 
987.4001221172758 -1974.800244234552 2962.200366351828 251411.6041711515 -196091.2593911811 376515.9328348119 
997.4756335674521 -1994.951267134904 2992.426900702355 250491.5487365779 -196288.7068142323 377025.9301278185 
1007.551145017628 -2015.102290035257 3022.653435052885 249582.9252084357 -196487.7624625926 377524.498604851 
