# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-312.3408549554648 624.6817099109296 -937.0225648663943 -720182.6925436256 41899.61935744651 -1228255.113914987 
-302.2653435052885 604.530687010577 -906.7960305158656 -728700.1310291513 14011.31923490642 -1223858.29064128 
-292.1898320551122 584.3796641102244 -876.5694961653367 -737034.540101189 -14331.11213322513 -1218853.56771142 
-282.1143206049359 564.2286412098719 -846.3429618148077 -745146.3911896267 -43041.19211326307 -1213232.716785426 
-272.0388091547596 544.0776183095193 -816.1164274642788 -753000.4098133285 -72035.60872326414 -1206992.36430759 
-261.9632977045833 523.9265954091667 -785.8898931137501 -760565.7570553393 -101236.0243720674 -1200133.455147458 
-251.8877862544071 503.7755725088142 -755.6633587632211 -767816.3175702237 -130570.4829609683 -1192660.372885861 
-241.8122748042308 483.6245496084616 -725.4368244126922 -774730.4521140615 -159974.2452031233 -1184580.213003253 
-231.7367633540545 463.473526708109 -695.2102900621636 -781290.7237249499 -189390.2210681793 -1175901.97839152 
-221.6612519038782 443.3225038077564 -664.9837557116346 -787483.4797803974 -218769.0269913255 -1166635.845284306 
-211.5857404537019 423.1714809074039 -634.7572213611056 -793298.3415221123 -248068.7720659555 -1156792.522133487 
-201.5102290035256 403.0204580070512 -604.5306870105768 -798727.7720142668 -277254.6008399694 -1146382.635129387 
-191.4347175533493 382.8694351066987 -574.304152660048 -803766.4396335258 -306298.199299079 -1135416.327707589 
-181.3592061031732 362.7184122063464 -544.0776183095195 -808410.890085906 -335177.0922651519 -1123902.781921635 
-171.2836946529968 342.5673893059937 -513.8510839589903 -812658.9508156518 -363874.0974051506 -1111849.98290992 
-161.2081832028206 322.4163664056412 -483.6245496084618 -816509.4760207197 -392376.5823722389 -1099264.393480591 
-151.1326717526442 302.2653435052885 -453.3980152579326 -819961.8673332604 -420675.9700052197 -1086150.808119903 
-141.057160302468 282.114320604936 -423.171480907404 -823015.8495258177 -448767.1019675733 -1072512.150616915 
-130.9816488522916 261.9632977045833 -392.9449465568748 -825671.0797515372 -476647.8786038085 -1058349.366459119 
-120.9061374021154 241.8122748042309 -362.7184122063464 -827927.0702969907 -504318.6156002096 -1043661.254348619 
-110.8306259519391 221.6612519038781 -332.491877855817 -829782.7335082666 -531781.9782029416 -1028444.386649135 
-100.7551145017629 201.5102290035257 -302.2653435052885 -831236.4246756921 -559042.3307158166 -1012692.940806936 
-90.6796030515865 181.359206103173 -272.0388091547595 -832285.5452647356 -586105.7608828108 -996398.5757734522 
-80.60409160141026 161.2081832028205 -241.8122748042307 -832926.4371702827 -612979.7532021393 -979550.2468107815 
-70.5285801512339 141.0571603024678 -211.5857404537016 -833154.2668602767 -639672.899964911 -962134.0147105262 
-60.45306870105776 120.9061374021155 -181.3592061031732 -832962.633698198 -666195.0676976044 -944132.7746868802 
-50.37755725088143 100.7551145017629 -151.1326717526444 -832343.5604421013 -692556.979572829 -925525.9807458268 
-40.30204580070517 80.60409160141033 -120.9061374021153 -831287.1133443302 -718770.3654037378 -906289.2532768052 
-30.22653435052884 60.45306870105769 -90.6796030515866 -829781.1543488661 -744847.878961295 -886393.9229791241 
-20.15102290035258 40.30204580070517 -60.45306870105782 -827810.9835200936 -770803.1374567195 -865806.4520725014 
-10.07551145017626 20.15102290035251 -30.22653435052877 -825358.9873591813 -796650.6795042267 -844487.7443935347 
0 0 0 -822404.0809054563 -822406.1367376419 -822392.2346218482 
10.07551145017626 -20.15102290035251 30.22653435052877 -818921.1025468104 -848086.3316555135 -799466.7694548734 
20.15102290035258 -40.30204580070517 60.45306870105782 -814880.0259076289 -873709.4564925249 -775649.1749575434 
30.22653435052884 -60.45306870105769 90.6796030515866 -810244.9502032653 -899295.3160038624 -750866.4121424145 
40.30204580070517 -80.60409160141033 120.9061374021153 -804972.7871432119 -924865.6523322605 -725032.1721792157 
50.37755725088143 -100.7551145017629 151.1326717526444 -799011.5249324637 -950444.5788790884 -698043.6942659465 
60.45306870105776 -120.9061374021155 181.3592061031732 -792297.8908051503 -976059.1635691889 -669777.4817342905 
70.52858015123401 -141.057160302468 211.5857404537022 -784754.1376668138 -1001740.223317183 -640083.4180036674 
80.60409160141033 -161.2081832028207 241.812274804231 -776283.5196598729 -1027523.426822782 -608776.4926759611 
90.6796030515866 -181.3592061031732 272.0388091547597 -766763.7410926147 -1053450.863477603 -575624.8406592171 
100.7551145017629 -201.5102290035259 302.2653435052889 -756037.1247917673 -1079573.374545264 -540331.8503563812 
110.8306259519392 -221.6612519038784 332.4918778558176 -743895.3559096382 -1105954.034206825 -502508.3952310834 
120.9061374021155 -241.812274804231 362.7184122063464 -730054.4819566344 -1132673.761250672 -461627.4661989785 
130.9816488522916 -261.9632977045832 392.9449465568748 -714111.2129406037 -1159841.000354541 -416945.2518605771 
141.0571603024678 -282.1143206049356 423.1714809074036 -695460.5573865625 -1187609.299900112 -367352.7970634456 
151.1326717526442 -302.2653435052883 453.3980152579323 -673122.7801249621 -1216212.929444045 -311064.5378855852 
161.2081832028204 -322.4163664056408 483.6245496084614 -645317.6587129459 -1246052.068666212 -244844.1854034885 
171.2836946529968 -342.5673893059935 513.8510839589901 -608063.5821109626 -1277971.10568236 -161486.3670759492 
181.359206103173 -362.718412206346 544.0776183095189 -546796.9537552199 -1314852.134954391 -34731.37155217167 
191.4347175533493 -382.8694351066987 574.304152660048 803760.1082900837 306294.0577414947 1135421.926912531 
201.5102290035256 -403.0204580070512 604.5306870105768 798723.9550798452 277231.8568405881 1146390.79494487 
211.5857404537019 -423.1714809074039 634.7572213611058 793294.2616883322 248046.2138971396 1156800.15721976 
221.6612519038782 -443.3225038077564 664.9837557116346 787479.1912397081 218746.8939166236 1166642.890248033 
231.7367633540545 -463.473526708109 695.2102900621634 781286.2884813426 189368.752929246 1175908.382674888 
241.8122748042308 -483.6245496084616 725.4368244126923 774725.962135561 159953.6512772751 1184585.930456797 
251.8877862544071 -503.7755725088142 755.6633587632211 767811.8178867577 130550.9798971148 1192665.404697118 
261.9632977045833 -523.9265954091667 785.88989311375 760561.3188537917 101217.7893380775 1200137.80583102 
272.0388091547596 -544.0776183095193 816.1164274642789 752996.102813851 72018.78944921464 1206996.054970116 
282.1143206049359 -564.2286412098719 846.3429618148077 745142.3293346938 43025.88574501435 1213235.754414419 
292.1898320551122 -584.3796641102244 876.5694961653365 737030.7339365667 14317.41640772868 1218856.030226841 
302.2653435052885 -604.530687010577 906.7960305158656 728696.6442586862 -14023.31913147626 1223860.229260951 
312.3408549554647 -624.6817099109295 937.0225648663943 720179.6133351465 -41909.9282615112 1228256.567680203 
322.4163664056412 -644.8327328112823 967.2490992169234 711522.6732648957 -69254.99062074444 1232058.661470344 
332.4918778558174 -664.9837557116349 997.4756335674522 702771.5844911857 -95973.01265035431 1235285.63274838 
342.5673893059937 -685.1347786119874 1027.702167917981 693973.5248941892 -121982.8082257737 1237962.13788762 
352.64290075617 -705.28580151234 1057.92870226851 685175.8978147956 -147210.4954639598 1240117.886605521 
362.7184122063463 -725.4368244126927 1088.155236619039 676424.9062118111 -171591.7303001301 1241786.993791186 
372.7939236565226 -745.5878473130452 1118.381770969568 667764.2528789837 -195073.6162834049 1243007.039564573 
382.8694351066986 -765.7388702133973 1148.608305320096 659233.9934019896 -217615.9344478808 1243817.977285117 
392.944946556875 -785.88989311375 1178.834839670625 650869.636724748 -239191.6129883799 1244260.986234725 
403.0204580070513 -806.0409160141025 1209.061374021154 642701.5475298911 -259786.6781460445 1244377.320695184 
413.0959694572275 -826.191938914455 1239.287908371683 634754.6450505442 -279399.3375644945 1244207.323702639 
423.1714809074038 -846.3429618148076 1269.514442722211 627048.4010009234 -298038.7730134199 1243789.574720273 
433.2469923575802 -866.4939847151603 1299.74097707274 619597.0811205993 -315723.5421000631 1243160.253398821 
443.3225038077564 -886.6450076155129 1329.967511423269 612410.1406431843 -332480.0226972116 1242352.674462713 
453.3980152579327 -906.7960305158654 1360.194045773798 605492.7820382519 -348340.5220751925 1241397.069909528 
463.473526708109 -926.947053416218 1390.420580124327 598846.5126421441 -363341.85249884 1240320.469120401 
473.5490381582853 -947.0980763165707 1420.647114474856 592469.7898616681 -377523.6974664945 1239146.770787261 
483.6245496084616 -967.2490992169232 1450.873648825384 586358.5535807196 -390927.547673738 1237896.850594799 
493.7000610586379 -987.4001221172757 1481.100183175914 580506.7987095529 -403595.5264227726 1236588.78423812 
503.7755725088141 -1007.551145017628 1511.326717526442 574907.0784342511 -415569.5247776025 1235238.088322373 
513.8510839589903 -1027.702167917981 1541.553251876971 569550.8222784576 -426890.7759748661 1233857.949615558 
523.9265954091667 -1047.853190818333 1571.7797862275 564428.7485727903 -437599.2059042159 1232459.506992645 
534.002106859343 -1068.004213718686 1602.006320578029 559531.1310729099 -447733.1418921198 1231052.095003165 
544.0776183095193 -1088.155236619039 1632.232854928558 554848.0759402675 -457329.0307787472 1229643.47834336 
554.1531297596955 -1108.306259519391 1662.459389279087 550369.5573432358 -466421.5059750043 1228240.059073885 
564.2286412098719 -1128.457282419744 1692.685923629615 546085.7475083235 -475043.0727064622 1226847.076469548 
574.3041526600482 -1148.608305320096 1722.912457980145 541986.9505151969 -483224.3113906757 1225468.777224555 
584.3796641102244 -1168.759328220449 1753.138992330673 538063.7286697193 -490993.8251267002 1224108.574096876 
594.4551755604007 -1188.910351120801 1783.365526681202 534307.0103778283 -498378.2616940589 1222769.168948872 
604.530687010577 -1209.061374021154 1813.592061031731 530708.1011809983 -505402.4269337297 1221452.664572129 
614.6061984607534 -1229.212396921507 1843.81859538226 527258.7231042732 -512089.3758193839 1220160.654866139 
624.6817099109296 -1249.363419821859 1874.045129732789 523950.9910620772 -518460.532052565 1218894.314232714 
634.7572213611057 -1269.514442722211 1904.271664083317 520777.4775209638 -524535.772321736 1217654.448545128 
644.832732811282 -1289.665465622564 1934.498198433846 517731.0704707194 -530333.5666694454 1216441.597584079 
654.9082442614582 -1309.816488522916 1964.724732784375 514805.1521267134 -535871.032308982 1215256.024743716 
664.9837557116344 -1329.967511423269 1994.951267134904 511993.3569902121 -541164.0712957443 1214097.839523861 
675.059267161811 -1350.118534323622 2025.177801485433 509289.8012814672 -546227.4269263895 1212966.945132496 
685.1347786119871 -1370.269557223974 2055.404335835961 506688.8663642037 -551074.79236419 1211863.143891803 
695.2102900621634 -1390.420580124327 2085.63087018649 504185.2816804721 -555718.8802855647 1210786.125387527 
705.2858015123396 -1410.571603024679 2115.857404537019 501774.087576091 -560171.5005271597 1209735.495318845 
715.3613129625162 -1430.722625925032 2146.083938887548 499450.6349234392 -564443.6325436381 1208710.785322741 
725.4368244126923 -1450.873648825385 2176.310473238077 497210.5164479588 -568545.4840836189 1207711.492228868 
735.5123358628686 -1471.024671725737 2206.537007588606 495049.6189072939 -572486.5594647337 1206737.058207782 
745.5878473130448 -1491.17569462609 2236.763541939135 492964.0404799904 -576275.7041307811 1205786.913688407 
755.6633587632214 -1511.326717526443 2266.990076289663 490950.1405724323 -579921.1682025717 1204860.453223721 
765.7388702133975 -1531.477740426795 2297.216610640192 489004.4621883422 -583430.6384764834 1203957.075500124 
775.8143816635737 -1551.628763327147 2327.443144990722 487123.7798388043 -586811.2977542655 1203076.156169472 
785.88989311375 -1571.7797862275 2357.66967934125 485305.0407951049 -590069.8515501182 1202217.077432558 
795.9654045639265 -1591.930809127853 2387.896213691779 483545.3548891734 -593212.5623070862 1201379.232085424 
806.0409160141027 -1612.081832028205 2418.122748042308 481842.024846088 -596245.2992415059 1200562.001657819 
816.1164274642789 -1632.232854928558 2448.349282392837 480192.4932899416 -599173.5527128021 1199764.783912875 
826.1919389144551 -1652.38387782891 2478.575816743366 478594.3471533937 -602002.4671591383 1198986.986587897 
836.2674503646317 -1672.534900729263 2508.802351093895 477045.2961727952 -604736.8598157428 1198228.037303253 
846.3429618148078 -1692.685923629616 2539.028885444423 475543.201617858 -607381.2642945425 1197487.359757505 
856.4184732649841 -1712.836946529968 2569.255419794952 474086.0301676632 -609939.9325944211 1196764.399632015 
866.4939847151603 -1732.987969430321 2599.481954145481 472671.8592769877 -612416.8611920761 1196058.616947882 
876.5694961653369 -1753.138992330674 2629.70848849601 471298.8592137048 -614815.8015679754 1195369.494778157 
